dnaSampleID,Site,Date,Type,Source,aquMicrobeType,MetaSample,WQGroup,WatershedArea,Latitude,Longitude,Elevation,NLCD_11,NLCD_12,NLCD_2,NLCD_31,NLCD_4,NLCD_5,NLCD_7,NLCD_81,NLCD_82,NLCD_90,NLCD_95,NRCS_ALF,NRCS_ARI,NRCS_AND,NRCS_ENT,NRCS_GEL,NRCS_HIS,NRCS_INC,NRCS_MOL,NRCS_OXI,NRCS_SPO,NRCS_ULT,NRCS_VER,NRCS_WATER,SW_PARavg,SW_TempAvg,SW_SpCondAvg,SW_DOAvg,SW_DOSatAvg,SW_pHAvg,SW_TurbAvg,SW_Qavg,SW_Runoffavg,SW_Alkalinity,SW_Br,SW_Ca,SW_Cl,SW_CO3,SW_DIC,SW_DOC,SW_F,SW_Fe,SW_HCO3,SW_K,SW_Mg,SW_Mn,SW_Na,SW_NH4,SW_NO3NO2,SW_OrthoP,SW_Si,SW_SO4,SW_TDN,SW_TDP,SW_TDS,SW_TN,SW_TOC,SW_TP,SW_TPC,SW_TSS,SW_UVAbsorbance_280nm,SW_UVAbsorbance_254nm,Sed_Perc2mmSieve,Sed_Al,Sed_Alkalinity,Sed_Ba,Sed_Be,Sed_Ca,Sed_Cd,Sed_PercClay,Sed_CO3,Sed_Conductivity,Sed_Cr,Sed_Cu,Sed_Fe,Sed_HCO3,Sed_Hg,Sed_K,Sed_Mg,Sed_Mn,Sed_Mo,Sed_Na,Sed_NH4,Sed_Ni,Sed_NO3NO2,Sed_OH,Sed_Pb,Sed_PercSolids,Sed_pH,Sed_PercSand,Sed_Sb,Sed_PercSilt,Sed_Sn,Sed_TC,Sed_Ti,Sed_TN,Sed_TP,Sed_TOC,Sed_Zn
COMO.20190828.EPILITHON.4.DNA-DNA1,COMO,8/28/19,Stream,Benthic,epilithon,0,1,3.5636,40.03495653,-105.5444088,3026,0,0,0,0,66.46,21.2695,11.9862,0,0,0.2843,0,0,0,0,0,0,0,82.097452,17.902548,0,0,0,0,0,25.35,7.05,30.84,7.9,65.39,7.25,1.44,4.73,0.11,0.3,0.005,4.599,0.17,0.005,3.672,2.464,0.005,0.035,2.98,0.207,0.987,0.001,2.599,0.025,0.022,0.004,8.31,18.13,0.132,0.013,21.9,0.115,2.625,0.244,332.887,10,0.1129,0.0821,88.34,3671.25,2.24,24.73,0.18,613.13,0.11,2.52,1,0.1,4.89,2.58,8255,2.24,5.4,546,964.5,154.88,1.83,30.33,0.27,3.43,0.46,1,9.08,75.46,6.46,95.63,0.1,1.89,3.3,3.35,182.5,0.04,164.38,2.72,20.83
COMO.20190828.EPILITHON.5.DNA-DNA1,COMO,8/28/19,Stream,Benthic,epilithon,0,1,3.5636,40.03495653,-105.5444088,3026,0,0,0,0,66.46,21.2695,11.9862,0,0,0.2843,0,0,0,0,0,0,0,82.097452,17.902548,0,0,0,0,0,25.35,7.05,30.84,7.9,65.39,7.25,1.44,4.73,0.11,0.3,0.005,4.599,0.17,0.005,3.672,2.464,0.005,0.035,2.98,0.207,0.987,0.001,2.599,0.025,0.022,0.004,8.31,18.13,0.132,0.013,21.9,0.115,2.625,0.244,332.887,10,0.1129,0.0821,88.34,3671.25,2.24,24.73,0.18,613.13,0.11,2.52,1,0.1,4.89,2.58,8255,2.24,5.4,546,964.5,154.88,1.83,30.33,0.27,3.43,0.46,1,9.08,75.46,6.46,95.63,0.1,1.89,3.3,3.35,182.5,0.04,164.38,2.72,20.83
COMO.20190828.EPIPSAMMON.1.DNA-DNA1,COMO,8/28/19,Stream,Benthic,epipsammon,0,1,3.5636,40.03495653,-105.5444088,3026,0,0,0,0,66.46,21.2695,11.9862,0,0,0.2843,0,0,0,0,0,0,0,82.097452,17.902548,0,0,0,0,0,25.35,7.05,30.84,7.9,65.39,7.25,1.44,4.73,0.11,0.3,0.005,4.599,0.17,0.005,3.672,2.464,0.005,0.035,2.98,0.207,0.987,0.001,2.599,0.025,0.022,0.004,8.31,18.13,0.132,0.013,21.9,0.115,2.625,0.244,332.887,10,0.1129,0.0821,88.34,3671.25,2.24,24.73,0.18,613.13,0.11,2.52,1,0.1,4.89,2.58,8255,2.24,5.4,546,964.5,154.88,1.83,30.33,0.27,3.43,0.46,1,9.08,75.46,6.46,95.63,0.1,1.89,3.3,3.35,182.5,0.04,164.38,2.72,20.83
COMO.20190828.EPIPSAMMON.2.DNA-DNA1,COMO,8/28/19,Stream,Benthic,epipsammon,0,1,3.5636,40.03495653,-105.5444088,3026,0,0,0,0,66.46,21.2695,11.9862,0,0,0.2843,0,0,0,0,0,0,0,82.097452,17.902548,0,0,0,0,0,25.35,7.05,30.84,7.9,65.39,7.25,1.44,4.73,0.11,0.3,0.005,4.599,0.17,0.005,3.672,2.464,0.005,0.035,2.98,0.207,0.987,0.001,2.599,0.025,0.022,0.004,8.31,18.13,0.132,0.013,21.9,0.115,2.625,0.244,332.887,10,0.1129,0.0821,88.34,3671.25,2.24,24.73,0.18,613.13,0.11,2.52,1,0.1,4.89,2.58,8255,2.24,5.4,546,964.5,154.88,1.83,30.33,0.27,3.43,0.46,1,9.08,75.46,6.46,95.63,0.1,1.89,3.3,3.35,182.5,0.04,164.38,2.72,20.83
COMO.20190828.EPIPSAMMON.3.DNA-DNA1,COMO,8/28/19,Stream,Benthic,epipsammon,0,1,3.5636,40.03495653,-105.5444088,3026,0,0,0,0,66.46,21.2695,11.9862,0,0,0.2843,0,0,0,0,0,0,0,82.097452,17.902548,0,0,0,0,0,25.35,7.05,30.84,7.9,65.39,7.25,1.44,4.73,0.11,0.3,0.005,4.599,0.17,0.005,3.672,2.464,0.005,0.035,2.98,0.207,0.987,0.001,2.599,0.025,0.022,0.004,8.31,18.13,0.132,0.013,21.9,0.115,2.625,0.244,332.887,10,0.1129,0.0821,88.34,3671.25,2.24,24.73,0.18,613.13,0.11,2.52,1,0.1,4.89,2.58,8255,2.24,5.4,546,964.5,154.88,1.83,30.33,0.27,3.43,0.46,1,9.08,75.46,6.46,95.63,0.1,1.89,3.3,3.35,182.5,0.04,164.38,2.72,20.83
CUPE.20190123.EPILITHON.1.DNA-DNA1,CUPE,1/23/19,Stream,Benthic,epilithon,0,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,18.42,21.63,310.68,8.39,95.36,8.64,98.2,39.44,0.8,2.93,0.005,8.611,6.92,0.005,39.68,0.806,3.76,0.001,293.21,0.248,55.64,0.001,5.552,0.034,0.335,0.066,25.6,5.84,0.342,0.007,371.99,0.311,0.916,0.023,278.584,0.05,0.0209,0.0158,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190123.EPILITHON.2.DNA-DNA1,CUPE,1/23/19,Stream,Benthic,epilithon,0,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,18.42,21.63,310.68,8.39,95.36,8.64,98.2,39.44,0.8,2.93,0.005,8.611,6.92,0.005,39.68,0.806,3.76,0.001,293.21,0.248,55.64,0.001,5.552,0.034,0.335,0.066,25.6,5.84,0.342,0.007,371.99,0.311,0.916,0.023,278.584,0.05,0.0209,0.0158,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190123.EPILITHON.3.DNA-DNA1,CUPE,1/23/19,Stream,Benthic,epilithon,0,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,18.42,21.63,310.68,8.39,95.36,8.64,98.2,39.44,0.8,2.93,0.005,8.611,6.92,0.005,39.68,0.806,3.76,0.001,293.21,0.248,55.64,0.001,5.552,0.034,0.335,0.066,25.6,5.84,0.342,0.007,371.99,0.311,0.916,0.023,278.584,0.05,0.0209,0.0158,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190123.EPILITHON.4.DNA-DNA1,CUPE,1/23/19,Stream,Benthic,epilithon,0,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,18.42,21.63,310.68,8.39,95.36,8.64,98.2,39.44,0.8,2.93,0.005,8.611,6.92,0.005,39.68,0.806,3.76,0.001,293.21,0.248,55.64,0.001,5.552,0.034,0.335,0.066,25.6,5.84,0.342,0.007,371.99,0.311,0.916,0.023,278.584,0.05,0.0209,0.0158,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190123.EPILITHON.5.DNA-DNA1,CUPE,1/23/19,Stream,Benthic,epilithon,0,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,18.42,21.63,310.68,8.39,95.36,8.64,98.2,39.44,0.8,2.93,0.005,8.611,6.92,0.005,39.68,0.806,3.76,0.001,293.21,0.248,55.64,0.001,5.552,0.034,0.335,0.066,25.6,5.84,0.342,0.007,371.99,0.311,0.916,0.023,278.584,0.05,0.0209,0.0158,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190123.EPILITHON.6.DNA-DNA1,CUPE,1/23/19,Stream,Benthic,epilithon,0,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,18.42,21.63,310.68,8.39,95.36,8.64,98.2,39.44,0.8,2.93,0.005,8.611,6.92,0.005,39.68,0.806,3.76,0.001,293.21,0.248,55.64,0.001,5.552,0.034,0.335,0.066,25.6,5.84,0.342,0.007,371.99,0.311,0.916,0.023,278.584,0.05,0.0209,0.0158,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190123.EPILITHON.7.DNA-DNA1,CUPE,1/23/19,Stream,Benthic,epilithon,0,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,18.42,21.63,310.68,8.39,95.36,8.64,98.2,39.44,0.8,2.93,0.005,8.611,6.92,0.005,39.68,0.806,3.76,0.001,293.21,0.248,55.64,0.001,5.552,0.034,0.335,0.066,25.6,5.84,0.342,0.007,371.99,0.311,0.916,0.023,278.584,0.05,0.0209,0.0158,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190123.EPILITHON.8.DNA-DNA1,CUPE,1/23/19,Stream,Benthic,epilithon,0,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,18.42,21.63,310.68,8.39,95.36,8.64,98.2,39.44,0.8,2.93,0.005,8.611,6.92,0.005,39.68,0.806,3.76,0.001,293.21,0.248,55.64,0.001,5.552,0.034,0.335,0.066,25.6,5.84,0.342,0.007,371.99,0.311,0.916,0.023,278.584,0.05,0.0209,0.0158,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190625.EPILITHON.1.DNA-DNA1,CUPE,6/25/19,Stream,Benthic,epilithon,1,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,28.88,24.91,310.56,7.52,91.3,7.96,28.18,58.1,1.18,3.04,0.005,6.203,9.232,0.005,37.965,0.634,0.005,0.001,184.87,0.116,35.315,0.001,3.547,0.041,0.327,0.017,17.527,5.706,0.345,0.016,239.09,0.365,0.814,0.114,162.117,4,0.0339,0.0286,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190625.EPILITHON.2.DNA-DNA1,CUPE,6/25/19,Stream,Benthic,epilithon,1,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,28.88,24.91,310.56,7.52,91.3,7.96,28.18,58.1,1.18,3.04,0.005,6.203,9.232,0.005,37.965,0.634,0.005,0.001,184.87,0.116,35.315,0.001,3.547,0.041,0.327,0.017,17.527,5.706,0.345,0.016,239.09,0.365,0.814,0.114,162.117,4,0.0339,0.0286,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190625.EPILITHON.3.DNA-DNA1,CUPE,6/25/19,Stream,Benthic,epilithon,1,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,28.88,24.91,310.56,7.52,91.3,7.96,28.18,58.1,1.18,3.04,0.005,6.203,9.232,0.005,37.965,0.634,0.005,0.001,184.87,0.116,35.315,0.001,3.547,0.041,0.327,0.017,17.527,5.706,0.345,0.016,239.09,0.365,0.814,0.114,162.117,4,0.0339,0.0286,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190625.EPILITHON.4.DNA-DNA1,CUPE,6/25/19,Stream,Benthic,epilithon,1,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,28.88,24.91,310.56,7.52,91.3,7.96,28.18,58.1,1.18,3.04,0.005,6.203,9.232,0.005,37.965,0.634,0.005,0.001,184.87,0.116,35.315,0.001,3.547,0.041,0.327,0.017,17.527,5.706,0.345,0.016,239.09,0.365,0.814,0.114,162.117,4,0.0339,0.0286,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190625.EPILITHON.5.DNA-DNA1,CUPE,6/25/19,Stream,Benthic,epilithon,1,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,28.88,24.91,310.56,7.52,91.3,7.96,28.18,58.1,1.18,3.04,0.005,6.203,9.232,0.005,37.965,0.634,0.005,0.001,184.87,0.116,35.315,0.001,3.547,0.041,0.327,0.017,17.527,5.706,0.345,0.016,239.09,0.365,0.814,0.114,162.117,4,0.0339,0.0286,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190625.EPILITHON.6.DNA-DNA1,CUPE,6/25/19,Stream,Benthic,epilithon,1,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,28.88,24.91,310.56,7.52,91.3,7.96,28.18,58.1,1.18,3.04,0.005,6.203,9.232,0.005,37.965,0.634,0.005,0.001,184.87,0.116,35.315,0.001,3.547,0.041,0.327,0.017,17.527,5.706,0.345,0.016,239.09,0.365,0.814,0.114,162.117,4,0.0339,0.0286,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190625.EPILITHON.7.DNA-DNA1,CUPE,6/25/19,Stream,Benthic,epilithon,1,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,28.88,24.91,310.56,7.52,91.3,7.96,28.18,58.1,1.18,3.04,0.005,6.203,9.232,0.005,37.965,0.634,0.005,0.001,184.87,0.116,35.315,0.001,3.547,0.041,0.327,0.017,17.527,5.706,0.345,0.016,239.09,0.365,0.814,0.114,162.117,4,0.0339,0.0286,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
CUPE.20190625.EPILITHON.8.DNA-DNA1,CUPE,6/25/19,Stream,Benthic,epilithon,1,3,4.2595,18.11014145,-66.98629958,153,0,0,1.1193,0,97.8192,0.2062,0.8552,0,0,0,0,10.267766,0,0,0,0,0,0.073891,78.783266,10.873536,0,0,0,0,28.88,24.91,310.56,7.52,91.3,7.96,28.18,58.1,1.18,3.04,0.005,6.203,9.232,0.005,37.965,0.634,0.005,0.001,184.87,0.116,35.315,0.001,3.547,0.041,0.327,0.017,17.527,5.706,0.345,0.016,239.09,0.365,0.814,0.114,162.117,4,0.0339,0.0286,63.95,10858.33,11.83,15.48,0.11,10309.17,0.19,3.66,1,0.22,1688.33,20.66,46283.33,11.83,5.92,51.94,175166.67,642.83,1,48.34,0.16,1631.67,1.34,1,0.85,78.47,7.9,93.34,0.1,3.04,5.84,0.38,513.08,0.01,129.21,0.45,34.9
GUIL.20190129.EPILITHON.1.DNA-DNA1,GUIL,1/29/19,Stream,Benthic,epilithon,0,3,9.5583,18.17409721,-66.79977068,549,0,0,0.3782,0.0567,89.1759,0.6113,9.7778,0,0,0,0,0,0,0,0,0,0,17.355111,2.448284,47.256666,0,32.939945,0,0,257.97,20.17,226.26,8.28,91.67,7.98,109.74,77.99,0.7,1.04,0.005,46.424,10.22,0.005,25.21,0.945,1.65,0.001,195.63,1.2,10.4,0.001,12.05,0.092,0.399,0.137,17.53,8.58,0.541,0.02,265.07,0.598,0.878,0.028,305.988,4,0.0168,0.0109,69.43,25460,12.03,120.39,0.47,7105,0.49,19.25,1,0.19,38.9,51.65,37960,12.03,30.36,1347,9737,984.5,1.1,179.1,0.15,28,2.81,1,6.43,73.01,7.3,68.5,0.16,12.25,4.32,0.82,1267.5,0.01,461.1,0.68,69.02
GUIL.20190129.EPILITHON.2.DNA-DNA1,GUIL,1/29/19,Stream,Benthic,epilithon,0,3,9.5583,18.17409721,-66.79977068,549,0,0,0.3782,0.0567,89.1759,0.6113,9.7778,0,0,0,0,0,0,0,0,0,0,17.355111,2.448284,47.256666,0,32.939945,0,0,257.97,20.17,226.26,8.28,91.67,7.98,109.74,77.99,0.7,1.04,0.005,46.424,10.22,0.005,25.21,0.945,1.65,0.001,195.63,1.2,10.4,0.001,12.05,0.092,0.399,0.137,17.53,8.58,0.541,0.02,265.07,0.598,0.878,0.028,305.988,4,0.0168,0.0109,69.43,25460,12.03,120.39,0.47,7105,0.49,19.25,1,0.19,38.9,51.65,37960,12.03,30.36,1347,9737,984.5,1.1,179.1,0.15,28,2.81,1,6.43,73.01,7.3,68.5,0.16,12.25,4.32,0.82,1267.5,0.01,461.1,0.68,69.02
GUIL.20190129.EPILITHON.3.DNA-DNA1,GUIL,1/29/19,Stream,Benthic,epilithon,0,3,9.5583,18.17409721,-66.79977068,549,0,0,0.3782,0.0567,89.1759,0.6113,9.7778,0,0,0,0,0,0,0,0,0,0,17.355111,2.448284,47.256666,0,32.939945,0,0,257.97,20.17,226.26,8.28,91.67,7.98,109.74,77.99,0.7,1.04,0.005,46.424,10.22,0.005,25.21,0.945,1.65,0.001,195.63,1.2,10.4,0.001,12.05,0.092,0.399,0.137,17.53,8.58,0.541,0.02,265.07,0.598,0.878,0.028,305.988,4,0.0168,0.0109,69.43,25460,12.03,120.39,0.47,7105,0.49,19.25,1,0.19,38.9,51.65,37960,12.03,30.36,1347,9737,984.5,1.1,179.1,0.15,28,2.81,1,6.43,73.01,7.3,68.5,0.16,12.25,4.32,0.82,1267.5,0.01,461.1,0.68,69.02
GUIL.20190129.EPILITHON.4.DNA-DNA1,GUIL,1/29/19,Stream,Benthic,epilithon,0,3,9.5583,18.17409721,-66.79977068,549,0,0,0.3782,0.0567,89.1759,0.6113,9.7778,0,0,0,0,0,0,0,0,0,0,17.355111,2.448284,47.256666,0,32.939945,0,0,257.97,20.17,226.26,8.28,91.67,7.98,109.74,77.99,0.7,1.04,0.005,46.424,10.22,0.005,25.21,0.945,1.65,0.001,195.63,1.2,10.4,0.001,12.05,0.092,0.399,0.137,17.53,8.58,0.541,0.02,265.07,0.598,0.878,0.028,305.988,4,0.0168,0.0109,69.43,25460,12.03,120.39,0.47,7105,0.49,19.25,1,0.19,38.9,51.65,37960,12.03,30.36,1347,9737,984.5,1.1,179.1,0.15,28,2.81,1,6.43,73.01,7.3,68.5,0.16,12.25,4.32,0.82,1267.5,0.01,461.1,0.68,69.02
GUIL.20190129.EPILITHON.5.DNA-DNA1,GUIL,1/29/19,Stream,Benthic,epilithon,0,3,9.5583,18.17409721,-66.79977068,549,0,0,0.3782,0.0567,89.1759,0.6113,9.7778,0,0,0,0,0,0,0,0,0,0,17.355111,2.448284,47.256666,0,32.939945,0,0,257.97,20.17,226.26,8.28,91.67,7.98,109.74,77.99,0.7,1.04,0.005,46.424,10.22,0.005,25.21,0.945,1.65,0.001,195.63,1.2,10.4,0.001,12.05,0.092,0.399,0.137,17.53,8.58,0.541,0.02,265.07,0.598,0.878,0.028,305.988,4,0.0168,0.0109,69.43,25460,12.03,120.39,0.47,7105,0.49,19.25,1,0.19,38.9,51.65,37960,12.03,30.36,1347,9737,984.5,1.1,179.1,0.15,28,2.81,1,6.43,73.01,7.3,68.5,0.16,12.25,4.32,0.82,1267.5,0.01,461.1,0.68,69.02
GUIL.20190129.EPILITHON.6.DNA-DNA1,GUIL,1/29/19,Stream,Benthic,epilithon,0,3,9.5583,18.17409721,-66.79977068,549,0,0,0.3782,0.0567,89.1759,0.6113,9.7778,0,0,0,0,0,0,0,0,0,0,17.355111,2.448284,47.256666,0,32.939945,0,0,257.97,20.17,226.26,8.28,91.67,7.98,109.74,77.99,0.7,1.04,0.005,46.424,10.22,0.005,25.21,0.945,1.65,0.001,195.63,1.2,10.4,0.001,12.05,0.092,0.399,0.137,17.53,8.58,0.541,0.02,265.07,0.598,0.878,0.028,305.988,4,0.0168,0.0109,69.43,25460,12.03,120.39,0.47,7105,0.49,19.25,1,0.19,38.9,51.65,37960,12.03,30.36,1347,9737,984.5,1.1,179.1,0.15,28,2.81,1,6.43,73.01,7.3,68.5,0.16,12.25,4.32,0.82,1267.5,0.01,461.1,0.68,69.02
GUIL.20190129.EPILITHON.7.DNA-DNA1,GUIL,1/29/19,Stream,Benthic,epilithon,0,3,9.5583,18.17409721,-66.79977068,549,0,0,0.3782,0.0567,89.1759,0.6113,9.7778,0,0,0,0,0,0,0,0,0,0,17.355111,2.448284,47.256666,0,32.939945,0,0,257.97,20.17,226.26,8.28,91.67,7.98,109.74,77.99,0.7,1.04,0.005,46.424,10.22,0.005,25.21,0.945,1.65,0.001,195.63,1.2,10.4,0.001,12.05,0.092,0.399,0.137,17.53,8.58,0.541,0.02,265.07,0.598,0.878,0.028,305.988,4,0.0168,0.0109,69.43,25460,12.03,120.39,0.47,7105,0.49,19.25,1,0.19,38.9,51.65,37960,12.03,30.36,1347,9737,984.5,1.1,179.1,0.15,28,2.81,1,6.43,73.01,7.3,68.5,0.16,12.25,4.32,0.82,1267.5,0.01,461.1,0.68,69.02
GUIL.20190129.EPILITHON.8.DNA-DNA1,GUIL,1/29/19,Stream,Benthic,epilithon,0,3,9.5583,18.17409721,-66.79977068,549,0,0,0.3782,0.0567,89.1759,0.6113,9.7778,0,0,0,0,0,0,0,0,0,0,17.355111,2.448284,47.256666,0,32.939945,0,0,257.97,20.17,226.26,8.28,91.67,7.98,109.74,77.99,0.7,1.04,0.005,46.424,10.22,0.005,25.21,0.945,1.65,0.001,195.63,1.2,10.4,0.001,12.05,0.092,0.399,0.137,17.53,8.58,0.541,0.02,265.07,0.598,0.878,0.028,305.988,4,0.0168,0.0109,69.43,25460,12.03,120.39,0.47,7105,0.49,19.25,1,0.19,38.9,51.65,37960,12.03,30.36,1347,9737,984.5,1.1,179.1,0.15,28,2.81,1,6.43,73.01,7.3,68.5,0.16,12.25,4.32,0.82,1267.5,0.01,461.1,0.68,69.02
